"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
"    Percent","49.0%","51.0%","(X)","32.7%","28.9%","0.4%","13.6%","2.2%","0.1%","11.8%","12.5%"
" -> Hall County, Georgia","","","","","","","","","","",""
"    Estimate","107,912","109,355","38.7","135,145","10,867","1,731","4,623","654","0","21,593","43,308"
"    Percent","49.7%","50.3%","(X)","62.2%","5.0%","0.8%","2.1%","0.3%","0.0%","9.9%","19.9%"
" -> Henry County, Georgia","","","","","","","","","","",""
"    Estimate","120,773","133,840","37.5","79,670","135,577","2,317","7,381","695","0","10,839","18,829"
"    Percent","47.4%","52.6%","(X)","31.3%","53.2%","0.9%","2.9%","0.3%","0.0%","4.3%","7.4%"
" -> Houston County, Georgia","","","","","","","","","","",""
"    Estimate","84,327","87,647","36.5","90,696","56,389","0","5,172","995","67","2,858","16,859"
"    Percent","49.0%","51.0%","(X)","52.7%","32.8%","0.0%","3.0%","0.6%","0.0%","1.7%","9.8%"
" -> Jackson County, Georgia","","","","","","","","","","",""
"    Estimate","42,895","45,720","38.1","68,150","7,990","590","2,618","N","N","1,215","7,957"
"    Percent","48.4%","51.6%","(X)","76.9%","9.0%","0.7%","3.0%","N","N","1.4%","9.0%"
" -> Liberty County, Georgia","","","","","","","","","","",""
"    Estimate","35,901","33,309","28.4","26,005","30,276","346","623","N","N","1,197","10,712"
"    Percent","51.9%","48.1%","(X)","37.6%","43.7%","0.5%","0.9%","N","N","1.7%","15.5%"
" -> Lowndes County, Georgia","","","","","","","","","","",""
"    Estimate","58,494","62,218","34.0","62,708","42,733","71","2,253","N","N","4,064","8,883"
"    Percent","48.5%","51.5%","(X)","51.9%","35.4%","0.1%","1.9%","N","N","3.4%","7.4%"
" -> Muscogee County, Georgia","","","","","","","","","","",""
"    Estimate","97,040","104,837","35.4","74,683","91,743","646","5,252","357","132","8,536","20,467"
"    Percent","48.1%","51.9%","(X)","37.0%","45.4%","0.3%","2.6%","0.2%","0.1%","4.2%","10.1%"
" -> Newton County, Georgia","","","","","","","","","","",""
"    Estimate","55,820","64,315","36.4","44,827","55,306","0","1,824","N","N","3,278","14,900"
"    Percent","46.5%","53.5%","(X)","37.3%","46.0%","0.0%","1.5%","N","N","2.7%","12.4%"
" -> Paulding County, Georgia","","","","","","","","","","",""
"    Estimate","89,892","93,272","37.8","112,195","45,915","685","3,146","N","N","6,780","14,443"
"    Percent","49.1%","50.9%","(X)","61.3%","25.1%","0.4%","1.7%","N","N","3.7%","7.9%"
" -> Richmond County, Georgia","","","","","","","","","","",""
"    Estimate","98,192","107,222","35.5","65,871","115,199","375","3,629","379","0","7,197","11,437"
"    Percent","47.8%","52.2%","(X)","32.1%","56.1%","0.2%","1.8%","0.2%","0.0%","3.5%","5.6%"
" -> Rockdale County, Georgia","","","","","","","","","","",""
"    Estimate","44,849","51,138","40.2","22,591","56,191","0","1,657","N","N","5,523","10,025"
"    Percent","46.7%","53.3%","(X)","23.5%","58.5%","0.0%","1.7%","N","N","5.8%","10.4%"
" -> Spalding County, Georgia","","","","","","","","","","",""
"    Estimate","33,070","36,876","39.5","36,900","26,307","0","224","N","N","2,372","3,965"
"    Percent","47.3%","52.7%","(X)","52.8%","37.6%","0.0%","0.3%","N","N","3.4%","5.7%"
" -> Troup County, Georgia","","","","","","","","","","",""
"    Estimate","33,975","36,767","39.0","38,004","25,788","105","1,766","N","N","2,766","2,289"
"    Percent","48.0%","52.0%","(X)","53.7%","36.5%","0.1%","2.5%","N","N","3.9%","3.2%"
" -> Walker County, Georgia","","","","","","","","","","",""
"    Estimate","34,579","34,910","41.1","62,074","1,407","54","0","N","N","662","5,231"
"    Percent","49.8%","50.2%","(X)","89.3%","2.0%","0.1%","0.0%","N","N","1.0%","7.5%"
" -> Walton County, Georgia","","","","","","","","","","",""
"    Estimate","52,680","54,022","39.8","72,924","22,320","112","1,989","N","N","2,932","5,432"
"    Percent","49.4%","50.6%","(X)","68.3%","20.9%","0.1%","1.9%","N","N","2.7%","5.1%"
" -> Whitfield County, Georgia","","","","","","","","","","",""
"    Estimate","51,743","51,944","37.2","61,966","2,274","548","1,431","N","N","25,824","11,598"
"    Percent","49.9%","50.1%","(X)","59.8%","2.2%","0.5%","1.4%","N","N","24.9%","11.2%"
" -> Hawaii County, Hawaii","","","","","","","","","","",""
"    Estimate","102,549","105,066","44.3","62,050","1,358","252","39,711","2,588","17,168","5,586","77,100"
"    Percent","49.4%","50.6%","(X)","29.9%","0.7%","0.1%","19.1%","1.2%","8.3%","2.7%","37.1%"
" -> Honolulu County, Hawaii","","","","","","","","","","",""
"    Estimate","498,365","491,043","40.2","180,898","20,857","2,334","418,663","53,593","128,748","15,953","259,766"
"    Percent","50.4%","49.6%","(X)","18.3%","2.1%","0.2%","42.3%","5.4%","13.0%","1.6%","26.3%"
" -> Kauai County, Hawaii","","","","","","","","","","",""
"    Estimate","36,460","37,391","43.2","21,319","562","0","24,052","74","6,657","1,615","19,417"
"    Percent","49.4%","50.6%","(X)","28.9%","0.8%","0.0%","32.6%","0.1%","9.0%","2.2%","26.3%"
" -> Maui County, Hawaii","","","","","","","","","","",""
"    Estimate","81,746","82,498","43.3","50,267","1,324","147","44,238","724","8,516","3,484","48,624"
"    Percent","49.8%","50.2%","(X)","30.6%","0.8%","0.1%","26.9%","0.4%","5.2%","2.1%","29.6%"
" -> Ada County, Idaho","","","","","","","","","","",""
"    Estimate","263,769","260,904","38.8","436,162","8,366","3,794","14,548","3,286","770","16,582","44,557"
"    Percent","50.3%","49.7%","(X)","83.1%","1.6%","0.7%","2.8%","0.6%","0.1%","3.2%","8.5%"
" -> Bannock County, Idaho","","","","","","","","","","",""
"    Estimate","45,657","44,743","35.7","74,097","305","2,475","1,211","N","N","5,461","6,656"
"    Percent","50.5%","49.5%","(X)","82.0%","0.3%","2.7%","1.3%","N","N","6.0%","7.4%"
" -> Bonneville County, Idaho","","","","","","","","","","",""
"    Estimate","64,945","66,421","34.0","108,658","985","532","840","N","N","7,300","12,309"
"    Percent","49.4%","50.6%","(X)","82.7%","0.7%","0.4%","0.6%","N","N","5.6%","9.4%"
" -> Canyon County, Idaho","","","","","","","","","","",""
"    Estimate","128,911","128,763","35.1","188,718","2,183","946","2,515","437","419","26,580","36,522"
"    Percent","50.0%","50.0%","(X)","73.2%","0.8%","0.4%","1.0%","0.2%","0.2%","10.3%","14.2%"
" -> Kootenai County, Idaho","","","","","","","","","","",""
"    Estimate","92,799","92,211","42.2","158,247","608","1,586","2,059","N","N","2,840","19,608"
"    Percent","50.2%","49.8%","(X)","85.5%","0.3%","0.9%","1.1%","N","N","1.5%","10.6%"
" -> Twin Falls County, Idaho","","","","","","","","","","",""
"    Estimate","48,559","46,597","36.1","76,306","1,229","479","878","N","N","5,450","9,814"
"    Percent","51.0%","49.0%","(X)","80.2%","1.3%","0.5%","0.9%","N","N","5.7%","10.3%"
" -> Champaign County, Illinois","","","","","","","","","","",""
"    Estimate","102,427","103,217","30.9","131,135","28,614","306","22,292","10,029","447","3,736","19,561"
"    Percent","49.8%","50.2%","(X)","63.8%","13.9%","0.1%","10.8%","4.9%","0.2%","1.8%","9.5%"
" -> Cook County, Illinois","","","","","","","","","","",""
"    Estimate","2,481,470","2,605,602","38.4","2,216,117","1,116,814","46,664","406,650","87,775","8,977","637,712","660,498"
"    Percent","48.8%","51.2%","(X)","43.6%","22.0%","0.9%","8.0%","1.7%","0.2%","12.5%","13.0%"
" -> DeKalb County, Illinois","","","","","","","","","","",""
"    Estimate","51,226","49,062","34.4","73,849","8,314","181","2,798","N","N","4,963","10,183"
"    Percent","51.1%","48.9%","(X)","73.6%","8.3%","0.2%","2.8%","N","N","4.9%","10.2%"
" -> DuPage County, Illinois","","","","","","","","","","",""
"    Estimate","455,679","465,534","40.6","589,880","47,297","4,320","119,541","13,093","1,754","59,063","100,820"
"    Percent","49.5%","50.5%","(X)","64.0%","5.1%","0.5%","13.0%","1.4%","0.2%","6.4%","10.9%"
" -> Kane County, Illinois","","","","","","","","","","",""
"    Estimate","258,231","256,751","39.1","291,662","25,038","8,329","22,034","1,873","215","71,003","96,485"
"    Percent","50.1%","49.9%","(X)","56.6%","4.9%","1.6%","4.3%","0.4%","0.0%","13.8%","18.7%"
" -> Kankakee County, Illinois","","","","","","","","","","",""
"    Estimate","52,963","52,977","38.8","77,762","15,490","92","1,056","N","N","4,634","6,906"
"    Percent","50.0%","50.0%","(X)","73.4%","14.6%","0.1%","1.0%","N","N","4.4%","6.5%"
" -> Kendall County, Illinois","","","","","","","","","","",""
"    Estimate","70,026","69,950","36.0","88,012","10,867","567","6,384","N","N","6,660","27,486"
"    Percent","50.0%","50.0%","(X)","62.9%","7.8%","0.4%","4.6%","N","N","4.8%","19.6%"
" -> Lake County, Illinois","","","","","","","","","","",""
"    Estimate","355,365","353,395","39.6","426,676","43,077","6,664","62,648","11,284","1,225","77,477","91,482"
"    Percent","50.1%","49.9%","(X)","60.2%","6.1%","0.9%","8.8%","1.6%","0.2%","10.9%","12.9%"
" -> LaSalle County, Illinois","","","","","","","","","","",""
"    Estimate","55,690","52,619","42.5","92,076","2,548","229","973","N","N","4,995","7,488"
"    Percent","51.4%","48.6%","(X)","85.0%","2.4%","0.2%","0.9%","N","N","4.6%","6.9%"
" -> McHenry County, Illinois","","","","","","","","","","",""
"    Estimate","157,348","155,452","41.1","245,942","5,469","1,958","9,158","232","100","17,361","32,806"
"    Percent","50.3%","49.7%","(X)","78.6%","1.7%","0.6%","2.9%","0.1%","0.0%","5.6%","10.5%"
" -> McLean County, Illinois","","","","","","","","","","",""
"    Estimate","82,998","87,443","35.0","131,800","13,623","899","9,208","613","170","3,155","11,756"
"    Percent","48.7%","51.3%","(X)","77.3%","8.0%","0.5%","5.4%","0.4%","0.1%","1.9%","6.9%"
" -> Macon County, Illinois","","","","","","","","","","",""
"    Estimate","48,313","52,278","40.2","74,418","14,505","337","1,353","N","N","1,043","8,908"
"    Percent","48.0%","52.0%","(X)","74.0%","14.4%","0.3%","1.3%","N","N","1.0%","8.9%"
" -> Madison County, Illinois","","","","","","","","","","",""
"    Estimate","129,977","132,775","41.1","217,922","20,190","267","3,730","705","102","2,818","17,579"
"    Percent","49.5%","50.5%","(X)","82.9%","7.7%","0.1%","1.4%","0.3%","0.0%","1.1%","6.7%"
" -> Peoria County, Illinois","","","","","","","","","","",""
"    Estimate","85,450","92,063","39.3","118,709","28,887","1,602","7,862","N","N","4,597","15,397"
"    Percent","48.1%","51.9%","(X)","66.9%","16.3%","0.9%","4.4%","N","N","2.6%","8.7%"
" -> Rock Island County, Illinois","","","","","","","","","","",""
"    Estimate","68,962","72,274","40.7","99,462","14,625","801","4,202","241","157","6,238","15,844"
"    Percent","48.8%","51.2%","(X)","70.4%","10.4%","0.6%","3.0%","0.2%","0.1%","4.4%","11.2%"
" -> St. Clair County, Illinois","","","","","","","","","","",""
"    Estimate","121,564","129,454","39.7","151,005","68,886","591","4,148","59","317","6,418","19,890"
"    Percent","48.4%","51.6%","(X)","60.2%","27.4%","0.2%","1.7%","0.0%","0.1%","2.6%","7.9%"
" -> Sangamon County, Illinois","","","","","","","","","","",""
"    Estimate","93,151","100,340","42.1","150,306","22,785","984","4,327","1,184","134","3,654","11,125"
"    Percent","48.1%","51.9%","(X)","77.7%","11.8%","0.5%","2.2%","0.6%","0.1%","1.9%","5.7%"
" -> Tazewell County, Illinois","","","","","","","","","","",""
"    Estimate","63,944","65,597","42.2","120,143","1,883","262","1,292","N","N","450","5,511"
"    Percent","49.4%","50.6%","(X)","92.7%","1.5%","0.2%","1.0%","N","N","0.3%","4.3%"
" -> Vermilion County, Illinois","","","","","","","","","","",""
"    Estimate","35,708","35,944","41.7","55,541","10,539","186","817","N","N","1,235","3,334"
"    Percent","49.8%","50.2%","(X)","77.5%","14.7%","0.3%","1.1%","N","N","1.7%","4.7%"
" -> Will County, Illinois","","","","","","","","","","",""
"    Estimate","349,432","351,296","39.6","431,421","76,944","4,095","46,523","7,166","71","53,482","88,157"
"    Percent","49.9%","50.1%","(X)","61.6%","11.0%","0.6%","6.6%","1.0%","0.0%","7.6%","12.6%"
" -> Williamson County, Illinois","","","","","","","","","","",""
"    Estimate","32,832","33,874","40.8","59,121","3,292","151","443","N","N","16","3,683"
"    Percent","49.2%","50.8%","(X)","88.6%","4.9%","0.2%","0.7%","N","N","0.0%","5.5%"
" -> Winnebago County, Illinois","","","","","","","","","","",""
"    Estimate","137,691","143,231","40.1","184,308","33,226","3,193","8,337","812","21","18,122","33,736"
"    Percent","49.0%","51.0%","(X)","65.6%","11.8%","1.1%","3.0%","0.3%","0.0%","6.5%","12.0%"
" -> Allen County, Indiana","","","","","","","","","","",""
"    Estimate","195,676","198,869","36.5","279,921","39,942","1,632","20,711","1,683","257","13,813","38,173"
"    Percent","49.6%","50.4%","(X)","70.9%","10.1%","0.4%","5.2%","0.4%","0.1%","3.5%","9.7%"
" -> Bartholomew County, Indiana","","","","","","","","","","",""
"    Estimate","43,297","40,706","36.8","64,379","1,932","40","4,947","N","N","6,187","6,518"
"    Percent","51.5%","48.5%","(X)","76.6%","2.3%","0.0%","5.9%","N","N","7.4%","7.8%"
" -> Boone County, Indiana","","","","","","","","","","",""
"    Estimate","37,690","38,430","39.2","66,393","1,812","0","2,703","N","N","189","4,886"
"    Percent","49.5%","50.5%","(X)","87.2%","2.4%","0.0%","3.6%","N","N","0.2%","6.4%"
" -> Clark County, Indiana","","","","","","","","","","",""
"    Estimate","61,113","64,354","39.8","102,198","7,948","0","1,960","N","N","3,227","10,134"
"    Percent","48.7%","51.3%","(X)","81.5%","6.3%","0.0%","1.6%","N","N","2.6%","8.1%"
" -> Delaware County, Indiana","","","","","","","","","","",""
"    Estimate","54,704","57,617","35.4","95,708","5,699","369","2,140","N","N","843","7,474"
"    Percent","48.7%","51.3%","(X)","85.2%","5.1%","0.3%","1.9%","N","N","0.8%","6.7%"
" -> Elkhart County, Indiana","","","","","","","","","","",""
"    Estimate","103,623","102,786","36.3","147,630","10,944","2,477","2,435","N","N","26,046","16,771"
"    Percent","50.2%","49.8%","(X)","71.5%","5.3%","1.2%","1.2%","N","N","12.6%","8.1%"
" -> Floyd County, Indiana","","","","","","","","","","",""
"    Estimate","38,696","42,113","41.2","68,558","2,785","569","989","N","N","1,263","6,469"
"    Percent","47.9%","52.1%","(X)","84.8%","3.4%","0.7%","1.2%","N","N","1.6%","8.0%"
" -> Grant County, Indiana","","","","","","","","","","",""
"    Estimate","32,243","33,957","37.6","55,884","2,783","370","442","N","N","253","6,354"
"    Percent","48.7%","51.3%","(X)","84.4%","4.2%","0.6%","0.7%","N","N","0.4%","9.6%"
" -> Hamilton County, Indiana","","","","","","","","","","",""
"    Estimate","183,690","187,955","38.5","295,732","17,776","621","25,220","4,577","314","4,506","26,466"
"    Percent","49.4%","50.6%","(X)","79.6%","4.8%","0.2%","6.8%","1.2%","0.1%","1.2%","7.1%"
" -> Hancock County, Indiana","","","","","","","","","","",""
"    Estimate","43,212","42,954","41.2","75,428","2,861","0","1,162","N","N","763","5,952"
"    Percent","50.1%","49.9%","(X)","87.5%","3.3%","0.0%","1.3%","N","N","0.9%","6.9%"
" -> Hendricks County, Indiana","","","","","","","","","","",""
"    Estimate","93,996","92,391","39.1","144,208","20,391","1,021","6,429","N","N","1,908","12,430"
"    Percent","50.4%","49.6%","(X)","77.4%","10.9%","0.5%","3.4%","N","N","1.0%","6.7%"
" -> Howard County, Indiana","","","","","","","","","","",""
"    Estimate","40,998","42,833","40.5","71,954","5,466","0","1,431","N","N","279","4,701"
"    Percent","48.9%","51.1%","(X)","85.8%","6.5%","0.0%","1.7%","N","N","0.3%","5.6%"
" -> Johnson County, Indiana","","","","","","","","","","",""
"    Estimate","84,020","83,799","37.9","140,823","6,776","57","9,683","178","711","5,158","5,322"
"    Percent","50.1%","49.9%","(X)","83.9%","4.0%","0.0%","5.8%","0.1%","0.4%","3.1%","3.2%"
" -> Kosciusko County, Indiana","","","","","","","","","","",""
"    Estimate","40,002","40,362","38.7","69,892","239","46","1,322","N","N","4,430","4,435"
"    Percent","49.8%","50.2%","(X)","87.0%","0.3%","0.1%","1.6%","N","N","5.5%","5.5%"
" -> Lake County, Indiana","","","","","","","","","","",""
"    Estimate","243,566","257,032","39.8","271,595","111,904","1,895","8,700","1,733","59","47,455","58,972"
"    Percent","48.7%","51.3%","(X)","54.3%","22.4%","0.4%","1.7%","0.3%","0.0%","9.5%","11.8%"
" -> LaPorte County, Indiana","","","","","","","","","","",""
"    Estimate","57,616","54,090","41.9","86,663","11,678","243","964","N","N","2,852","9,306"
"    Percent","51.6%","48.4%","(X)","77.6%","10.5%","0.2%","0.9%","N","N","2.6%","8.3%"
" -> Madison County, Indiana","","","","","","","","","","",""
"    Estimate","66,802","65,702","41.1","111,023","6,380","272","1,003","N","N","2,807","10,982"
"    Percent","50.4%","49.6%","(X)","83.8%","4.8%","0.2%","0.8%","N","N","2.1%","8.3%"
" -> Marion County, Indiana","","","","","","","","","","",""
"    Estimate","468,875","499,585","34.5","493,950","265,307","6,303","39,858","2,638","346","63,978","98,864"
"    Percent","48.4%","51.6%","(X)","51.0%","27.4%","0.7%","4.1%","0.3%","0.0%","6.6%","10.2%"
" -> Monroe County, Indiana","","","","","","","","","","",""
"    Estimate","69,423","69,919","31.7","114,291","4,745","567","9,207","3,204","350","2,737","7,795"
"    Percent","49.8%","50.2%","(X)","82.0%","3.4%","0.4%","6.6%","2.3%","0.3%","2.0%","5.6%"
" -> Morgan County, Indiana","","","","","","","","","","",""
"    Estimate","36,566","36,661","41.4","68,783","91","0","598","N","N","429","3,326"
"    Percent","49.9%","50.1%","(X)","93.9%","0.1%","0.0%","0.8%","N","N","0.6%","4.5%"
" -> Porter County, Indiana","","","","","","","","","","",""
"    Estimate","86,753","88,582","41.4","146,987","7,580","285","2,731","346","32","3,298","14,419"
"    Percent","49.5%","50.5%","(X)","83.8%","4.3%","0.2%","1.6%","0.2%","0.0%","1.9%","8.2%"
" -> St. Joseph County, Indiana","","","","","","","","","","",""
"    Estimate","135,117","137,731","36.8","191,230","33,661","424","7,199","1,614","174","9,605","30,579"
"    Percent","49.5%","50.5%","(X)","70.1%","12.3%","0.2%","2.6%","0.6%","0.1%","3.5%","11.2%"
" -> Tippecanoe County, Indiana","","","","","","","","","","",""
"    Estimate","97,694","91,098","29.0","137,921","10,912","513","15,273","5,549","955","4,980","19,193"
"    Percent","51.7%","48.3%","(X)","73.1%","5.8%","0.3%","8.1%","2.9%","0.5%","2.6%","10.2%"
" -> Vanderburgh County, Indiana","","","","","","","","","","",""
"    Estimate","89,013","90,797","39.0","143,582","16,781","219","2,419","N","N","4,799","11,581"
"    Percent","49.5%","50.5%","(X)","79.9%","9.3%","0.1%","1.3%","N","N","2.7%","6.4%"
" -> Vigo County, Indiana","","","","","","","","","","",""
"    Estimate","53,149","53,004","35.9","90,072","4,097","488","2,651","N","N","1,647","7,198"
"    Percent","50.1%","49.9%","(X)","84.9%","3.9%","0.5%","2.5%","N","N","1.6%","6.8%"
" -> Warrick County, Indiana","","","","","","","","","","",""
"    Estimate","32,752","33,115","41.0","59,169","1,468","26","1,373","N","N","1,049","2,782"
"    Percent","49.7%","50.3%","(X)","89.8%","2.2%","0.0%","2.1%","N","N","1.6%","4.2%"
" -> Wayne County, Indiana","","","","","","","","","","",""
"    Estimate","32,292","33,835","40.9","56,158","1,846","63","698","N","N","1,973","5,389"
"    Percent","48.8%","51.2%","(X)","84.9%","2.8%","0.1%","1.1%","N","N","3.0%","8.1%"
" -> Black Hawk County, Iowa","","","","","","","","","","",""
"    Estimate","64,297","66,174","36.1","103,083","11,916","511","3,772","N","N","4,148","6,493"
"    Percent","49.3%","50.7%","(X)","79.0%","9.1%","0.4%","2.9%","N","N","3.2%","5.0%"
" -> Dallas County, Iowa","","","","","","","","","","",""
"    Estimate","54,729","56,363","36.3","95,040","3,625","65","5,273","N","N","1,508","5,581"
"    Percent","49.3%","50.7%","(X)","85.6%","3.3%","0.1%","4.7%","N","N","1.4%","5.0%"
" -> Dubuque County, Iowa","","","","","","","","","","",""
"    Estimate","48,759","50,128","39.5","87,764","3,430","0","1,000","N","N","636","5,426"
"    Percent","49.3%","50.7%","(X)","88.8%","3.5%","0.0%","1.0%","N","N","0.6%","5.5%"
" -> Johnson County, Iowa","","","","","","","","","","",""
"    Estimate","76,813","80,715","32.2","120,527","12,326","205","8,305","2,893","186","3,542","12,623"
"    Percent","48.8%","51.2%","(X)","76.5%","7.8%","0.1%","5.3%","1.8%","0.1%","2.2%","8.0%"
" -> Linn County, Iowa","","","","","","","","","","",""
"    Estimate","113,375","115,597","39.6","191,832","14,443","715","4,486","629","0","1,713","15,587"
"    Percent","49.5%","50.5%","(X)","83.8%","6.3%","0.3%","2.0%","0.3%","0.0%","0.7%","6.8%"
" -> Polk County, Iowa","","","","","","","","","","",""
"    Estimate","251,891","253,364","36.8","380,640","38,323","2,851","26,070","2,529","149","20,828","36,331"
"    Percent","49.9%","50.1%","(X)","75.3%","7.6%","0.6%","5.2%","0.5%","0.0%","4.1%","7.2%"
" -> Pottawattamie County, Iowa","","","","","","","","","","",""
"    Estimate","45,463","47,716","41.0","81,372","2,354","208","388","N","N","2,356","6,464"
"    Percent","48.8%","51.2%","(X)","87.3%","2.5%","0.2%","0.4%","N","N","2.5%","6.9%"
" -> Scott County, Iowa","","","","","","","","","","",""
"    Estimate","86,462","87,808","39.5","136,625","11,752","282","5,224","1,159","0","4,889","15,104"
"    Percent","49.6%","50.4%","(X)","78.4%","6.7%","0.2%","3.0%","0.7%","0.0%","2.8%","8.7%"
" -> Story County, Iowa","","","","","","","","","","",""
"    Estimate","51,701","46,865","27.6","82,216","3,111","539","6,356","851","66","1,723","4,291"
"    Percent","52.5%","47.5%","(X)","83.4%","3.2%","0.5%","6.4%","0.9%","0.1%","1.7%","4.4%"
" -> Woodbury County, Iowa","","","","","","","","","","",""
"    Estimate","53,962","51,989","37.6","76,151","7,074","1,457","2,538","N","N","4,122","14,609"
"    Percent","50.9%","49.1%","(X)","71.9%","6.7%","1.4%","2.4%","N","N","3.9%","13.8%"
" -> Butler County, Kansas","","","","","","","","","","",""
"    Estimate","34,980","33,652","39.0","59,447","933","519","1,195","N","N","1,258","5,280"
"    Percent","51.0%","49.0%","(X)","86.6%","1.4%","0.8%","1.7%","N","N","1.8%","7.7%"
" -> Douglas County, Kansas","","","","","","","","","","",""
"    Estimate","60,237","60,316","32.6","94,359","5,792","1,680","5,128","1,035","0","1,284","12,310"
"    Percent","50.0%","50.0%","(X)","78.3%","4.8%","1.4%","4.3%","0.9%","0.0%","1.1%","10.2%"
" -> Johnson County, Kansas","","","","","","","","","","",""
"    Estimate","307,857","314,380","39.1","484,387","31,014","2,430","26,299","6,264","281","11,470","66,258"
"    Percent","49.5%","50.5%","(X)","77.8%","5.0%","0.4%","4.2%","1.0%","0.0%","1.8%","10.6%"
" -> Leavenworth County, Kansas","","","","","","","","","","",""
"    Estimate","44,251","39,267","38.1","67,069","5,482","480","1,182","221","126","2,284","6,983"
"    Percent","53.0%","47.0%","(X)","80.3%","6.6%","0.6%","1.4%","0.3%","0.2%","2.7%","8.4%"
" -> Riley County, Kansas","","","","","","","","","","",""
"    Estimate","38,564","32,838","24.9","54,586","5,243","491","2,552","N","N","2,042","6,488"
"    Percent","54.0%","46.0%","(X)","76.4%","7.3%","0.7%","3.6%","N","N","2.9%","9.1%"
" -> Sedgwick County, Kansas","","","","","","","","","","",""
"    Estimate","263,072","265,397","36.4","365,976","42,061","3,701","21,050","1,944","455","25,712","69,746"
"    Percent","49.8%","50.2%","(X)","69.3%","8.0%","0.7%","4.0%","0.4%","0.1%","4.9%","13.2%"
" -> Shawnee County, Kansas","","","","","","","","","","",""
"    Estimate","87,197","90,549","40.3","133,677","11,475","1,610","2,030","N","N","4,877","23,608"
"    Percent","49.1%","50.9%","(X)","75.2%","6.5%","0.9%","1.1%","N","N","2.7%","13.3%"
" -> Wyandotte County, Kansas","","","","","","","","","","",""
"    Estimate","82,245","83,036","34.8","69,187","29,939","2,005","9,065","N","N","25,095","28,634"
"    Percent","49.8%","50.2%","(X)","41.9%","18.1%","1.2%","5.5%","N","N","15.2%","17.3%"
" -> Boone County, Kentucky","","","","","","","","","","",""
"    Estimate","69,543","70,953","36.9","115,621","6,748","560","2,891","N","N","2,770","11,906"
"    Percent","49.5%","50.5%","(X)","82.3%","4.8%","0.4%","2.1%","N","N","2.0%","8.5%"
" -> Bullitt County, Kentucky","","","","","","","","","","",""
"    Estimate","42,611","42,252","42.2","77,937","158","20","756","N","N","1,145","4,847"
"    Percent","50.2%","49.8%","(X)","91.8%","0.2%","0.0%","0.9%","N","N","1.3%","5.7%"
" -> Campbell County, Kentucky","","","","","","","","","","",""
"    Estimate","46,405","47,297","40.4","84,898","1,455","170","965","N","N","665","5,449"
"    Percent","49.5%","50.5%","(X)","90.6%","1.6%","0.2%","1.0%","N","N","0.7%","5.8%"
" -> Christian County, Kentucky","","","","","","","","","","",""
"    Estimate","37,752","34,280","28.6","47,324","12,686","91","1,039","N","N","2,105","8,538"
"    Percent","52.4%","47.6%","(X)","65.7%","17.6%","0.1%","1.4%","N","N","2.9%","11.9%"
" -> Daviess County, Kentucky","","","","","","","","","","",""
"    Estimate","50,496","52,962","38.2","88,900","6,690","1,692","217","N","N","1,484","4,475"
"    Percent","48.8%","51.2%","(X)","85.9%","6.5%","1.6%","0.2%","N","N","1.4%","4.3%"
" -> Fayette County, Kentucky","","","","","","","","","","",""
"    Estimate","157,714","162,440","35.4","221,195","45,198","953","13,087","3,604","997","12,433","27,288"
"    Percent","49.3%","50.7%","(X)","69.1%","14.1%","0.3%","4.1%","1.1%","0.3%","3.9%","8.5%"
" -> Hardin County, Kentucky","","","","","","","","","","",""
"    Estimate","56,060","56,213","38.0","85,049","11,773","392","2,675","N","N","2,161","10,105"
"    Percent","49.9%","50.1%","(X)","75.8%","10.5%","0.3%","2.4%","N","N","1.9%","9.0%"
" -> Jefferson County, Kentucky","","","","","","","","","","",""
"    Estimate","374,851","397,293","38.5","486,250","159,355","1,311","23,177","1,862","494","19,339","82,487"
"    Percent","48.5%","51.5%","(X)","63.0%","20.6%","0.2%","3.0%","0.2%","0.1%","2.5%","10.7%"
" -> Kenton County, Kentucky","","","","","","","","","","",""
"    Estimate","84,352","86,969","37.9","146,862","7,618","110","1,520","N","N","4,397","10,681"
"    Percent","49.2%","50.8%","(X)","85.7%","4.4%","0.1%","0.9%","N","N","2.6%","6.2%"
" -> McCracken County, Kentucky","","","","","","","","","","",""
"    Estimate","32,533","34,895","41.8","55,308","6,996","0","425","N","N","999","3,592"
"    Percent","48.2%","51.8%","(X)","82.0%","10.4%","0.0%","0.6%","N","N","1.5%","5.3%"
" -> Madison County, Kentucky","","","","","","","","","","",""
"    Estimate","47,179","49,556","34.5","86,628","2,912","191","1,082","N","N","558","5,364"
"    Percent","48.8%","51.2%","(X)","89.6%","3.0%","0.2%","1.1%","N","N","0.6%","5.5%"
" -> Oldham County, Kentucky","","","","","","","","","","",""
"    Estimate","37,533","32,650","40.6","60,551","2,193","197","1,177","156","142","1,049","5,016"
"    Percent","53.5%","46.5%","(X)","86.3%","3.1%","0.3%","1.7%","0.2%","0.2%","1.5%","7.1%"
